eps,N, exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
3.4299999999999997,5,0.0,0.28608118153024076,0.775,0.000993417379973109,0.5119899417399457,0.12499999999999997,0.2027382191587469,0.17822445292996816
3.4299999999999997,5,1.0,0.2952023734282774,0.8,0.0014461203383871162,0.488673287410337,0.12499999999999997,0.21077006039840154,0.18544680407053737
3.4299999999999997,5,2.0,0.3008288808485006,0.75,0.0009062239834811334,0.439335982283691,0.12499999999999997,0.22706286202103212,0.19593277183660504
3.4299999999999997,5,3.0,0.26135075198297364,0.675,0.0014776009947646226,0.26439865329552265,0.24999999999999994,0.2899617772790612,0.22896361107692195
3.4299999999999997,5,4.0,0.30169143588026054,0.675,0.0007854115035559155,0.4106664088478682,0.12499999999999997,0.23712171242458424,0.19634543586840747
3.4299999999999997,5,5.0,0.25734357891147064,0.725,0.0012659207193161989,0.36197076694376007,0.24999999999999994,0.25860336468041023,0.23944044766391376
3.4299999999999997,5,6.0,0.2919941202883275,0.8,0.0011636349433863265,0.39347657647198164,0.24999999999999994,0.25249619798654155,0.23021632643372084
3.4299999999999997,5,7.0,0.28446757482480295,0.675,0.0015713343536352387,0.29366696856197266,0.12499999999999997,0.25732276530880566,0.23771145160863683
3.4299999999999997,5,8.0,0.2826708727861916,0.7,0.001297037170244818,0.28440197554520125,0.24999999999999994,0.2556244382706585,0.17445601156917687
3.4299999999999997,5,9.0,0.2595568190502576,0.75,0.0006329053489330244,0.2518648242072767,0.24999999999999994,0.2613215659450681,0.22939445929427746
