eps,N,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
1.96,30,0.0,0.23194762263992574,0.9333333333333333,0.0038485032054704177,0.5803253699921367,0.30769230769230765,0.5592297950682202,0.21567863316675212
1.96,30,1.0,0.27948213684344003,0.8833333333333333,0.0035169022791941154,0.6455187576416073,0.0,0.4843915304713965,0.19145385550469796
1.96,30,2.0,0.22544340533586743,0.9,0.00403268757353732,0.5717712960368528,0.3846153846153846,0.5467275810599358,0.17713005611922328
1.96,30,3.0,0.2640531123475053,0.825,0.0028138031342909136,0.7788484630623479,0.46153846153846145,0.47518187692939723,0.1433630231022303
1.96,30,4.0,0.34887918142294966,0.925,0.003748522715946469,0.7588461078884461,0.15384615384615383,0.6108423724491756,0.268019013225683
1.96,30,5.0,0.2698756714702405,0.875,0.004642686449100304,0.7698970398346096,0.30769230769230765,0.5856862486434645,0.21530389590688745
1.96,30,6.0,0.25021369917664565,0.95,0.004781685469045085,0.6845290579361658,0.23076923076923073,0.6452106324634422,0.31631286165281175
1.96,30,7.0,0.24730218838579923,0.8416666666666667,0.004174496293721155,0.6978482681666197,0.3846153846153846,0.5810031721741409,0.2083666081555869
1.96,30,8.0,0.235057336151073,0.9166666666666666,0.003909147786125443,0.5967675465918432,0.3846153846153846,0.553327068466938,0.20871260509731981
1.96,30,9.0,0.21011803609097462,0.9,0.0050732921220223385,0.6194569249777169,0.30769230769230765,0.6585526264630553,0.2665923701322399
