eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.49,0.0,0.12985360998690534,0.023809523809523808,0.02571608224544953,0.7880101306601555,0.46153846153846145,0.7251784367693302,0.5364258936192379
0.49,1.0,0.13309585659573933,0.044642857142857144,0.021643175553858925,0.792858779139657,0.46153846153846145,0.6835899726493608,0.5297167279947167
0.49,2.0,0.10917190548611244,0.008928571428571428,0.019123440193143222,0.6471529861638913,0.46153846153846145,0.7701109700273187,0.548557979920177
0.49,3.0,0.13366473342527263,0.08035714285714286,0.019672638533515134,0.7970819867114854,0.46153846153846145,0.7135071792755837,0.5353513133798563
0.49,4.0,0.12172580379945379,0.05357142857142857,0.01891632402499069,0.8511475307751198,0.3846153846153846,0.683967606981616,0.5236781463746343
0.49,5.0,0.12271392972738893,0.10714285714285714,0.019694197332133095,0.7052219473748624,0.46153846153846145,0.7461509341300577,0.5485931633682288
0.49,6.0,0.1284183330551154,0.0625,0.02210043836053399,0.7400848209164681,0.46153846153846145,0.6935357396322089,0.5194426616751182
0.49,7.0,0.12567955855211932,0.050595238095238096,0.022750398363043246,0.7380567499591796,0.46153846153846145,0.6844722882484066,0.5226115145839403
0.49,8.0,0.1228200625913494,0.05357142857142857,0.02131701833647223,0.7803412689385333,0.46153846153846145,0.7562076232453089,0.5349774221291733
0.49,9.0,0.11941055487641972,0.008928571428571428,0.02490469651230052,0.7723642620751118,0.46153846153846145,0.8483104471269908,0.5766847772178332
