eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.09447333752247512,0.025,0.032189731858241574,3.0102259884012756,0.37499999999999994,0.966592489184596,0.7417688192545543
0.5,1.0,0.08107903590775464,0.15,0.02404523110931317,1.9055000175128511,0.24999999999999994,0.9515502256759187,0.7047199918523466
0.5,2.0,0.09979026002595762,0.25,0.020462661114157753,1.6812111596790047,0.37499999999999994,0.9463557562521795,0.7051140655407867
0.5,3.0,0.09055253006167135,0.025,0.034948113604735584,2.50167869061387,0.37499999999999994,0.9692538978705296,0.7447785495053562
0.5,4.0,0.11621359726483027,0.45,0.010996691813952991,1.4439177080522259,0.4999999999999999,0.6691411353604306,0.5645394415685522
0.5,5.0,0.12165274984801362,0.575,0.010706291447084803,2.1825437777813965,0.37499999999999994,0.7328926115380132,0.6174875959870848
0.5,6.0,0.08694399167095312,0.125,0.033865034345127554,3.168646163161803,0.37499999999999994,0.9705924504803588,0.7720538321477602
0.5,7.0,0.08108985743202357,0.175,0.022251861341994507,1.9339860786002954,0.37499999999999994,0.9582382903922301,0.7359608470967116
0.5,8.0,0.09728333411612049,0.05,0.028487400876395858,1.6249574448929518,0.37499999999999994,0.9509174279505055,0.7170709334681494
0.5,9.0,0.10323207946248515,0.25,0.01620802144777117,2.1063763424653694,0.37499999999999994,0.9416611319393076,0.6823736683532449
2.0,0.0,0.15615717802647874,0.7,0.011131287383950706,0.24702291838807952,0.37499999999999994,0.6762071247623932,0.42725938395307844
2.0,1.0,0.17234356513360582,0.65,0.012973469270742602,0.26755018811021186,0.37499999999999994,0.6748495551158162,0.3895453910984985
2.0,2.0,0.20461533611136548,0.65,0.0014944555853111702,0.42433323451172034,0.24999999999999994,0.4284212721187731,0.26335146215198935
2.0,3.0,0.18609499692909975,0.85,0.0013080531511463467,0.3192106197971148,0.37499999999999994,0.5378495882422126,0.3187269072423656
2.0,4.0,0.20147868388075055,0.675,0.0031267917762908175,0.3026937871213548,0.12499999999999997,0.5460899899976894,0.27171613177663717
2.0,5.0,0.19434516237892369,0.75,0.002467521484984651,0.4423948200662242,0.37499999999999994,0.43182425907260386,0.24857709405288914
2.0,6.0,0.1979498679028056,0.725,0.0020899210369709994,0.3547107094432671,0.24999999999999994,0.4855714940468795,0.3144075054411892
2.0,7.0,0.23685791032102535,0.75,0.0018581150360620115,0.2856430404656159,0.37499999999999994,0.4272868882455766,0.29310323182247433
2.0,8.0,0.20374102284000692,0.7,0.01360356357880762,0.3701265989366411,0.24999999999999994,0.5969981025622559,0.36081469358469326
2.0,9.0,0.23259104806169972,0.7,0.012280165899319235,0.31832156181458016,0.24999999999999994,0.5593783928546123,0.3263641525158857
3.5,0.0,0.2393159061720448,0.0,0.007100275675651256,0.2965776975122802,0.24999999999999994,0.6142279429819221,0.31329572815923146
3.5,1.0,0.2047349674037396,0.725,0.004041147457115734,0.3331955135064716,0.37499999999999994,0.601377054953525,0.2730495377926256
3.5,2.0,0.20136301534065007,0.0,0.009335256617789427,0.3093726915421009,0.24999999999999994,0.5677944241113978,0.2914608355469901
3.5,3.0,0.24042538971136365,0.8,0.0016029470134187097,0.353204256176118,0.12499999999999997,0.4839693356863318,0.3475079897837056
3.5,4.0,0.25323779545573244,0.65,0.012791690138439438,0.32187055273729814,0.12499999999999997,0.6568937789560123,0.30034286894331585
3.5,5.0,0.23960623859145355,0.775,0.002026604097382822,0.3361693868963556,0.24999999999999994,0.5918620212645989,0.29608654378002136
3.5,6.0,0.23049799490144476,0.65,0.011812626609792981,0.25167637971773416,0.37499999999999994,0.6831980394338384,0.38266210234307113
3.5,7.0,0.21034626849396315,0.675,0.01341270476046615,0.2858583086657728,0.24999999999999994,0.6793539317875897,0.34259067435117485
3.5,8.0,0.2358622462369282,0.75,0.0015443844751011787,0.3193465596046674,0.12499999999999997,0.3622380710498986,0.34080643490157414
3.5,9.0,0.24449840918009993,0.0,0.016158075236434966,0.23169396154342561,0.37499999999999994,0.5900822029059802,0.3074336613195784
