eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.11326147691709738,0.03571428571428571,0.016751900697357373,0.8627331727183779,0.46153846153846145,0.9279529965317357,0.595865919633773
0.5,1.0,0.10948290363115214,0.011904761904761904,0.018852248339871248,0.979316207685545,0.46153846153846145,0.9294187611000329,0.5953456163794338
0.5,2.0,0.11296991131427037,0.01488095238095238,0.01959766067398685,0.9065137441580721,0.3846153846153846,0.923569918972184,0.5939847123265659
0.5,3.0,0.11430458843654664,0.01488095238095238,0.01885892129502259,0.8960489050027701,0.46153846153846145,0.9160051940858399,0.5843438118849561
0.5,4.0,0.10815035574180808,0.041666666666666664,0.016557638788346537,0.9339505993798102,0.3846153846153846,0.9208385285852206,0.5929996633275642
0.5,5.0,0.11228741465255632,0.047619047619047616,0.017550733645103723,0.7928526247079754,0.3846153846153846,0.9079308210345359,0.5778486312271349
0.5,6.0,0.10883429876320279,0.020833333333333332,0.02021593024825377,1.0261226986910705,0.46153846153846145,0.9465118095874224,0.6096946896222984
0.5,7.0,0.11082745802579624,0.044642857142857144,0.0120560907521621,0.8054091063187254,0.46153846153846145,0.9180019704104095,0.5869615306925945
0.5,8.0,0.11262748177283465,0.05357142857142857,0.017983313183462777,0.8328296180879305,0.3846153846153846,0.9276714310457925,0.5923343759675438
0.5,9.0,0.11213131373015764,0.023809523809523808,0.019298663378124865,0.8942793572097646,0.46153846153846145,0.9329385939431549,0.595062847744936
2.0,0.0,0.10145849981956344,0.7797619047619048,0.0031899426068439135,0.6489685563985091,0.30769230769230765,0.22280900269326961,0.33245306535794394
2.0,1.0,0.09686729056809357,0.8065476190476191,0.0027553001655227075,0.6422450927359378,0.46153846153846145,0.23001402009186322,0.3324823745542482
2.0,2.0,0.13960056233361665,0.30357142857142855,0.012442017832792637,0.798532323026073,0.30769230769230765,0.7955878143560294,0.46868271868374733
2.0,3.0,0.19315594651314785,0.8065476190476191,0.0029015104680576186,0.5794441644983953,0.23076923076923073,0.2713112665643431,0.3978798187997311
2.0,4.0,0.16905745464641425,0.6547619047619048,0.004961924798209759,0.5395901966748128,0.23076923076923073,0.6048995519517228,0.5253713411788401
2.0,5.0,0.13570829546308202,0.7708333333333334,0.003293415511869755,0.6774128003496597,0.30769230769230765,0.2722963520938359,0.3605909162602218
2.0,6.0,0.16726314553201244,0.8422619047619048,0.002951606874310537,0.5135939742967333,0.23076923076923073,0.29350501887437724,0.4050706027801879
2.0,7.0,0.08307769128013119,0.7976190476190477,0.0026002474846255953,0.5633180809416931,0.46153846153846145,0.2239690234441417,0.29959040351828314
2.0,8.0,0.19771058004820544,0.7351190476190477,0.0027868993425692484,0.508539428576437,0.15384615384615383,0.3906730062005899,0.45903075713136554
2.0,9.0,0.157060415834313,0.27380952380952384,0.014514789117211144,0.8123245643477827,0.23076923076923073,0.930984455049963,0.5743299348954617
3.5,0.0,0.13992296945294966,0.47619047619047616,0.005845678092528839,0.5287802885764055,0.30769230769230765,0.6105825794339056,0.4364358105543666
3.5,1.0,0.1661778257846534,0.7678571428571429,0.0014976250881516284,0.42495931310944496,0.0,0.18560205683832082,0.2269223739220345
3.5,2.0,0.16789171442400325,0.4732142857142857,0.006662125912124142,0.6012773552216353,0.15384615384615383,0.3261935405350674,0.2810207286737428
3.5,3.0,0.15557686816313598,0.47023809523809523,0.002675844322781627,0.6036483054971454,0.07692307692307691,0.2903474887515681,0.27225991711975284
3.5,4.0,0.15062260117897966,0.6517857142857143,0.004458942580843508,0.6195163870396171,0.0,0.1649653633474306,0.28019977847015515
3.5,5.0,0.18610299809479633,0.7857142857142857,0.0023957040573040433,0.4252214525735006,0.15384615384615383,0.16425928653094432,0.32057703352989203
3.5,6.0,0.12188953764349407,0.8065476190476191,0.0011667146684251448,0.38141971105706657,0.30769230769230765,0.15707751675453857,0.17440043144728823
3.5,7.0,0.22820754245600822,0.7976190476190477,0.0014822364432376229,0.5060388385872973,0.07692307692307691,0.16147393474010982,0.3150549110052701
3.5,8.0,0.14772047834688398,0.7559523809523809,0.0023831178042179554,0.4186318173738084,0.3846153846153846,0.15164555126105994,0.2548717095852995
3.5,9.0,0.18079781921279398,0.7678571428571429,0.0019235922576561386,0.5069866136260258,0.15384615384615383,0.17624887849726478,0.2924307463100511
