eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.05544403477395988,0.0,0.019270747469816805,4.594701218928344,0.0,0.5220961400228896,0.260655663114124
0.5,1.0,0.0642855417497183,0.0,0.026230381379379043,2.9913215761164027,0.0,0.4825717998183061,0.2542152010987327
0.5,2.0,0.07307880761151757,0.0,0.03488417463790719,3.938020682007752,0.0,0.45688729096450886,0.2696898523025715
0.5,3.0,0.04806331647074958,0.0,0.020394762923349567,3.903169051232238,0.0,0.593175479723716,0.32761608660252284
0.5,4.0,0.050711965404176655,0.0,0.016405355888504464,3.955549762064416,0.0,0.43832570505432833,0.26080264369563294
0.5,5.0,0.0754453985304109,0.25,0.02921851561948073,3.5116302917591757,0.0,0.5115400688108348,0.2749321964475163
0.5,6.0,0.08558512961800448,0.25,0.020136455906574993,3.874869916693211,0.0,0.48504600322818187,0.3906193116987817
0.5,7.0,0.06045426903812579,0.0,0.017304524388808452,4.844705929065766,0.0,0.38258683317427045,0.26360363738631554
0.5,8.0,0.0950129169754642,0.5,0.023212083105962775,5.53864037790537,0.0,0.32362193551698804,0.25834496477678176
0.5,9.0,0.06365393402057686,0.0,0.02315691328333315,3.8645522048134695,0.0,0.49929951571454906,0.34404868200622885
1.0,0.0,0.03787094043245761,0.25,0.027290705446170935,4.056613199316898,0.0,0.6350060378608817,0.37317260065375335
1.0,1.0,0.06186792829353049,0.75,0.00571621531039989,2.926941267793079,0.24999999999999994,0.4211742637569366,0.3726691793013594
1.0,2.0,0.04529611666844139,0.0,0.02697195385954195,4.60241981841333,0.0,0.560324811099414,0.3036158076656027
1.0,3.0,0.05566439349021813,0.25,0.0229491095523962,3.276734156061281,0.24999999999999994,0.5049842949664858,0.41949913975001135
1.0,4.0,0.06535471936459031,0.0,0.023416254493281597,4.2964741006371785,0.0,0.46170725717555583,0.42599183783643874
1.0,5.0,0.03675447344201912,0.0,0.020002673676665812,6.979201966760522,0.0,0.5930447838316778,0.35222921986258754
1.0,6.0,0.04647545719083787,0.25,0.024763392666950733,6.884320652813267,0.0,0.6330910142702485,0.4178042531784587
1.0,7.0,0.04644011479675601,0.25,0.012243384327953164,4.315253380125366,0.0,0.5091350955016963,0.36799666587731183
1.0,8.0,0.06071331803755384,0.0,0.02397849444426088,3.871850241687247,0.0,0.4587779307931637,0.1496581643773261
1.0,9.0,0.04120488154901314,0.0,0.02909899900614467,2.4258065693218684,0.0,0.5613265748823673,0.4192207465520354
1.5,0.0,0.04460344239864863,0.25,0.01251123171404775,4.301929908678945,0.0,0.4890876245196014,0.2182473980024091
1.5,1.0,0.0548513376364781,0.25,0.01649145125760416,3.324860545624071,0.0,0.42073809990209005,0.4672705651123562
1.5,2.0,0.14113419656400172,0.5,0.019100020780261406,2.1318019200309637,0.0,0.32856122689235995,0.20994496115793754
1.5,3.0,0.10651073678597396,0.25,0.018679877716159546,3.4549026261697144,0.24999999999999994,0.3109199340181131,0.4049664199435694
1.5,4.0,0.04835365239930972,0.0,0.023386780020670864,7.868398721540563,0.0,0.5651751934811828,0.40674954783042755
1.5,5.0,0.028931800286306757,0.0,0.024093586638532727,12.456239558758972,0.0,0.7187306410949444,0.4621961470970939
1.5,6.0,0.04860620591979051,0.0,0.02430845134682242,3.3249206088056917,0.0,0.49150685534497546,0.4051296975468944
1.5,7.0,0.061552571247109264,0.5,0.014273505904050826,4.317116849413946,0.4999999999999999,0.44903652740998873,0.3591939507929676
1.5,8.0,0.10454166237181009,0.75,0.018336183168102673,3.3800415477247627,0.0,0.4396060039601364,0.03806335308506606
1.5,9.0,0.04233885258568602,0.5,0.026056781694488263,3.626541069515091,0.24999999999999994,0.42187711128987326,0.3596951021855165
2.0,0.0,0.08079114168161533,0.5,0.02490388320433533,3.2473630432266147,0.24999999999999994,0.5508542171803259,0.2941498791995273
2.0,1.0,0.15785703217650224,0.75,0.021257105534535164,3.733781767452501,0.0,0.14857667486235246,0.18130355547776508
2.0,2.0,0.05737259708571103,0.25,0.030465051010032693,3.1611272572382503,0.0,0.4121304010473028,0.05693389071764657
2.0,3.0,0.025746103448198807,0.25,0.024019323049761693,5.6369101645597866,0.0,0.4984416883556346,0.07511673428873389
2.0,4.0,0.041673068472517005,0.25,0.0264879176108052,5.428431568104802,0.24999999999999994,0.5293340525715149,0.336701944983344
2.0,5.0,0.22043177865205313,0.5,0.013723126601315173,3.223909340152927,0.4999999999999999,0.14268894725622092,0.23697153234979862
2.0,6.0,0.14593376657298177,0.0,0.022948354172813965,4.0467049398418,0.24999999999999994,0.34340798667483635,0.0602499257194033
2.0,7.0,0.07674013818050081,0.25,0.024628029478973912,3.5534458697786735,0.24999999999999994,0.3458465653535793,0.030223685834921542
2.0,8.0,0.12841036390677626,0.5,0.015837380414759402,5.426589524948488,0.24999999999999994,0.4107472141110895,0.27644340262084854
2.0,9.0,0.06033481318943936,0.75,0.021785678533355786,5.351265924519934,0.0,0.40111216887006906,0.4710742113285418
2.5,0.0,0.07083278294533175,0.0,0.02613272682272426,6.807737177187543,0.0,0.6275627263059393,0.35834324906907644
2.5,1.0,0.10826217812084006,0.25,0.019346069991105275,3.9988152844985723,0.24999999999999994,0.33698720505561836,0.4077659750561201
2.5,2.0,0.18384085658844532,0.5,0.025333886040558105,2.6633165655207023,0.0,0.12658846049414788,0.15804124458020938
2.5,3.0,0.01044395528402199,1.0,0.035100980712074924,4.693980448000607,0.0,0.421241983572957,0.20426818193524118
2.5,4.0,0.0627453116209661,0.5,0.01932958814662653,3.4223622748769156,0.4999999999999999,0.32045268879074973,0.6335003936907121
2.5,5.0,0.11683704394228374,0.5,0.015574663198682004,2.9727472496514276,0.0,0.5306083256412968,0.220392674173508
2.5,6.0,0.07268808201064993,0.5,0.009376181251183714,2.8435222922910843,0.24999999999999994,0.46308877850109925,0.3027975111700099
2.5,7.0,0.242705625106924,0.25,0.029513660006548856,2.2791292503122635,0.0,0.015700239041839457,0.18368019386668194
2.5,8.0,0.048318057122215465,0.75,0.01175737674885705,2.4024628509680745,0.24999999999999994,0.37748901433160575,0.7244391606514031
2.5,9.0,0.014940346193756601,0.0,0.021603752894535533,6.636445205029837,0.24999999999999994,0.4698355971617387,0.3800960894484272
3.0,0.0,0.1209006715148401,0.75,0.01880822953773149,2.9169754593771953,0.24999999999999994,0.2992547587327214,0.28374567287972763
3.0,1.0,0.003493058269997621,0.5,0.009275383794366342,2.7988222539426704,0.24999999999999994,0.37497113131945126,0.11991555557481022
3.0,2.0,0.0963859678841102,0.5,0.01607033778109292,2.5483472215551553,0.0,0.20956682736885396,0.44751855891302317
3.0,3.0,0.3150971613703007,0.5,0.020421586684752243,2.0283040651115494,0.4999999999999999,0.0848051596786182,0.0658898649614211
3.0,4.0,0.22098793570246106,0.0,0.02981923145418161,3.3560357906035474,0.0,0.2769034848877192,0.03481613964597774
3.0,5.0,0.3722243834281231,0.75,0.018296550447350096,2.4412361833220024,0.4999999999999999,0.000859149024590804,0.01778779072513385
3.0,6.0,0.06217046997722292,0.75,0.010929317963820684,2.3222944466962283,0.4999999999999999,0.41021985654918863,0.5616004135588123
3.0,7.0,0.2551585195764655,0.25,0.020748680886778927,2.9537344383654025,0.0,0.09393121856745364,0.0738191365676735
3.0,8.0,0.03842537701529352,0.5,0.014038150933397213,2.4019822562159634,0.24999999999999994,0.40971200203904734,0.5098025955859649
3.0,9.0,0.2565254480346422,0.75,0.021075438387655625,3.1359648622538447,0.24999999999999994,0.11965468849310013,0.20514299078879092
3.5,0.0,0.09227855163302004,0.5,0.028340367892419574,3.2167649305113084,0.0,0.23493489751508687,0.006164077575672541
3.5,1.0,0.0403609865840513,0.75,0.0050719931606870786,2.0757146111681637,0.24999999999999994,0.3914790384820571,0.7346907103400734
3.5,2.0,0.26657367990425435,0.0,0.02267747813021153,2.581635620760934,0.24999999999999994,0.013715913501037605,0.21044705783583456
3.5,3.0,0.07577216749193169,0.75,0.01426085782208996,2.8515513043546594,0.24999999999999994,0.32000675375652143,0.6662508255013201
3.5,4.0,0.07720992827751498,1.0,0.01748640581159855,3.1899867116243836,0.0,0.336979854632787,0.4090388737228884
3.5,5.0,0.1781651848120948,0.5,0.020572481279623703,3.9674074908026586,0.0,0.25448570190206254,0.09404054597489621
3.5,6.0,0.09441048351911085,0.0,0.022998286455576434,4.621528945560232,0.0,0.37455339895341877,0.18794428975163116
3.5,7.0,0.10859299965119151,0.5,0.021613317524033747,3.4403512079157155,0.24999999999999994,0.36547374038862135,0.5849437478298222
3.5,8.0,0.10601183828474628,0.0,0.024319572124355905,5.782491566420197,0.0,0.5495583899628762,0.20877116297108544
3.5,9.0,0.3220451711241594,0.25,0.01974056551413699,2.2122709482553007,0.0,0.06343688224956853,0.2105436188778386
