eps,exper,N,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.0,5.0,0.22470832915069866,0.75,0.0005268513396413301,0.619340316002746,0.24999999999999994,0.5637377837137642,0.4005243785247899
2.0,1.0,5.0,0.19001832138767463,0.775,0.0014722109070853598,0.6710519840658744,0.12499999999999997,0.6099110747249809,0.5074690717232103
2.0,2.0,5.0,0.14203893552274877,0.55,0.014946830504241842,0.7128606398444619,0.12499999999999997,0.8741336391231489,0.506347242430278
2.0,3.0,5.0,0.1753845989212497,0.6,0.016974438834652106,0.5418298377737325,0.12499999999999997,0.8434337868661952,0.5357021349700227
2.0,4.0,5.0,0.16825212508731624,0.75,0.0021392540620793305,0.7191656494038613,0.37499999999999994,0.464748789547424,0.35167724344693685
2.0,5.0,5.0,0.18359059981639503,0.45,0.0180557869943959,0.7815511069202519,0.12499999999999997,0.7940301703270327,0.48571501811344564
2.0,6.0,5.0,0.1374141179499032,0.175,0.025542122958244033,1.8367225762015764,0.12499999999999997,0.8768078978404762,0.6447631811977066
2.0,7.0,5.0,0.19771473770962497,0.5,0.011530220632391005,0.5134524547981764,0.0,0.7355107586149534,0.4409374786814668
2.0,8.0,5.0,0.12188613040172291,0.4,0.011683187760898304,0.6189463373425181,0.24999999999999994,0.7204994090710475,0.6830856097939317
2.0,9.0,5.0,0.2214335507113229,0.75,0.00307487885252952,0.7391668272258447,0.12499999999999997,0.5566807872760725,0.3551130651225986
2.0,0.0,10.0,0.21421324736979186,0.775,0.001156739826240297,0.324452356360189,0.24999999999999994,0.30818528086304964,0.3317657112215454
2.0,1.0,10.0,0.16787611693482177,0.025,0.004870117541241694,0.5201309505439871,0.12499999999999997,0.7145200450404579,0.5087619707319195
2.0,2.0,10.0,0.2261845866650436,0.6,0.014487655876654442,0.3980265352329427,0.12499999999999997,0.6258107238864327,0.44145067502534197
2.0,3.0,10.0,0.25300120521410857,0.6,0.01488430750421047,0.41682649941644645,0.24999999999999994,0.6366763382265193,0.47831238685255684
2.0,4.0,10.0,0.19115565940780663,0.875,0.00047942216810442086,0.3514391098536621,0.37499999999999994,0.3984891703904444,0.3967568950016539
2.0,5.0,10.0,0.23597764458294904,0.75,0.0019467840835206962,0.37607564738340943,0.37499999999999994,0.6642034125742257,0.4409441632999834
2.0,6.0,10.0,0.24790797460470654,0.8,0.0020490416793718835,0.5030852214441621,0.24999999999999994,0.4957952330336508,0.32038582753731354
2.0,7.0,10.0,0.22579229028591033,0.7,0.011472324022988995,0.4671974027902074,0.0,0.6699941174836191,0.4607162035000275
2.0,8.0,10.0,0.29261133136911394,0.725,0.005305590434752107,0.3951427334114822,0.12499999999999997,0.5641485057328673,0.3145663486434056
2.0,9.0,10.0,0.2486252627536958,0.825,0.0007942662708914937,0.48375599797517227,0.12499999999999997,0.5031653330725938,0.41523613464279774
2.0,0.0,15.0,0.21266246662141605,0.7,0.0015609028899439472,0.34628625311739103,0.37499999999999994,0.4112278162253855,0.2703774571346852
2.0,1.0,15.0,0.19717286511732154,0.775,0.001670600137999055,0.3933049155379515,0.37499999999999994,0.5849949463632292,0.3180241067022328
2.0,2.0,15.0,0.23492543475085526,0.675,0.0021302645277161305,0.326525890611804,0.24999999999999994,0.430248499893661,0.2984126828619695
2.0,3.0,15.0,0.17954302819261256,0.8,0.0012246765198207805,0.339275880138785,0.37499999999999994,0.3670878220724551,0.28547273006256235
2.0,4.0,15.0,0.22119023004959049,0.7,0.008904682607216658,0.3089612681074016,0.0,0.5895884980774032,0.3753434873006173
2.0,5.0,15.0,0.1934205085470749,0.725,0.0007300809325253624,0.31630311942204076,0.37499999999999994,0.4335820490765049,0.3362407981082441
2.0,6.0,15.0,0.2112562536721857,0.725,0.0022793121357806033,0.3787175938510877,0.37499999999999994,0.3761908853249462,0.2640601414960788
2.0,7.0,15.0,0.21425194594961902,0.675,0.009544782960137724,0.32955850968431066,0.37499999999999994,0.664169744715717,0.3667752813522211
2.0,8.0,15.0,0.22335881102308044,0.725,0.011517704540361853,0.35087222971406545,0.24999999999999994,0.5970990729654797,0.28992627658084463
2.0,9.0,15.0,0.25169070011980926,0.7,0.01035069785888841,0.3500028841587508,0.24999999999999994,0.5735540578479943,0.30632974457331125
2.0,0.0,20.0,0.14918099940927035,0.45,0.020925698484522186,0.3331142420198995,0.37499999999999994,0.7408983144031002,0.42656898953069833
2.0,1.0,20.0,0.2284664341187724,0.825,0.0008742692222781442,0.3808659815592628,0.12499999999999997,0.4855611277107474,0.3067004467607742
2.0,2.0,20.0,0.2673490146971651,0.525,0.015546048618851765,0.35156118893296817,0.37499999999999994,0.5964264011373369,0.37660497551249505
2.0,3.0,20.0,0.23990941717249786,0.675,0.005611905258478765,0.3253071871507376,0.37499999999999994,0.47446261204013385,0.22839749184922006
2.0,4.0,20.0,0.19391544256481502,0.775,0.0008306789310024044,0.26482422888293106,0.37499999999999994,0.40020542530896286,0.2824073925456867
2.0,5.0,20.0,0.20326669591724827,0.625,0.016146371545193362,0.33944709505227444,0.37499999999999994,0.6855002852879868,0.3293229478257494
2.0,6.0,20.0,0.23070272238149092,0.775,0.010018931511947906,0.2950676476718163,0.24999999999999994,0.6130445224689643,0.4247344103827036
2.0,7.0,20.0,0.22551510944673062,0.775,0.009888671923193674,0.33381074657692544,0.0,0.5941406025342086,0.38626938241389996
2.0,8.0,20.0,0.16051573140421563,0.65,0.0163103847446599,0.35347381041722037,0.37499999999999994,0.6893534377423164,0.32029455641814153
2.0,9.0,20.0,0.22611039723560322,0.725,0.0017535944496105602,0.37816893719008743,0.24999999999999994,0.5234854041432857,0.27121265978709624
2.0,0.0,25.0,0.22058248119790175,0.8,0.0010220018730556588,0.4118375417726984,0.12499999999999997,0.4647562799091302,0.38167648917861297
2.0,1.0,25.0,0.22391023284463996,0.85,0.0017448823421750957,0.3303190576449551,0.24999999999999994,0.4177272569847913,0.2692587448114721
2.0,2.0,25.0,0.19906327828085327,0.75,0.001353187285836336,0.3125668730514624,0.24999999999999994,0.5015192331308675,0.515373333673779
2.0,3.0,25.0,0.21800083000170303,0.575,0.015267012737666685,0.28108674946402673,0.37499999999999994,0.7092913345221787,0.34507991671306476
2.0,4.0,25.0,0.24120461345204242,0.8,0.0019742307511361737,0.3212432485099197,0.37499999999999994,0.4219535107883437,0.246569807043992
2.0,5.0,25.0,0.22045563167538162,0.8,0.01079942195879337,0.3510300864588566,0.37499999999999994,0.61742790383637,0.26620926330408334
2.0,6.0,25.0,0.17071496517617796,0.775,0.001262638402183101,0.42259973747918206,0.24999999999999994,0.475717565380251,0.411081585563048
2.0,7.0,25.0,0.2300607384992422,0.8,0.0013377026968971958,0.4558402893470201,0.12499999999999997,0.33257454998040487,0.2739519872003609
2.0,8.0,25.0,0.21674842712755807,0.775,0.001996771328518038,0.4489503633033492,0.0,0.4533141217008865,0.3674143476174327
2.0,9.0,25.0,0.22782080079281683,0.5,0.016960959380645887,0.2543704117103697,0.12499999999999997,0.6234867752255087,0.45106228656107633
2.0,0.0,30.0,0.14747597923510122,0.65,0.017109644940984225,0.25223763342178873,0.37499999999999994,0.7186581513122218,0.4011870848614865
2.0,1.0,30.0,0.21181039993690473,0.0,0.010184298654731375,0.3104713983229672,0.12499999999999997,0.6748014968809737,0.46248695500480475
2.0,2.0,30.0,0.1764507005414474,0.65,0.01564131187274278,0.49580423940240553,0.12499999999999997,0.6683716713196167,0.4540770868022176
2.0,3.0,30.0,0.1935457463513468,0.7,0.01223277125395891,0.3086146942689666,0.37499999999999994,0.5530259291332174,0.29215014390297483
2.0,4.0,30.0,0.2083586236864643,0.65,0.012242395872659382,0.3899215749294104,0.37499999999999994,0.6795014314502641,0.36373832697914527
2.0,5.0,30.0,0.2098823607188423,0.725,0.014757526331332366,0.2904216484557491,0.37499999999999994,0.6748438950378846,0.40813128928573256
2.0,6.0,30.0,0.17811348360873172,0.8,0.0013960170742150241,0.32219732087468345,0.12499999999999997,0.4061927662865933,0.3202181220040198
2.0,7.0,30.0,0.23169043377810586,0.675,0.006083168306183062,0.38741921679972047,0.37499999999999994,0.5731927688391729,0.3000842552765888
2.0,8.0,30.0,0.22722831737468102,0.675,0.014032071724595136,0.3282591132906606,0.12499999999999997,0.6651576554109186,0.4099580635994827
2.0,9.0,30.0,0.12949436873903974,0.675,0.010485227009280182,0.3817531672730001,0.37499999999999994,0.6272502927798527,0.40160076947225015
2.0,0.0,35.0,0.21818388777896067,0.625,0.011637930973265983,0.21756387342794883,0.24999999999999994,0.5936891966307711,0.2918885616800765
2.0,1.0,35.0,0.22690148350211822,0.0,0.011041832329751672,0.383133217153232,0.24999999999999994,0.6109952156927644,0.3728111255600243
2.0,2.0,35.0,0.23902272966264104,0.775,0.0009621733151629515,0.3730888756738405,0.37499999999999994,0.32080712675114303,0.26837099498337974
2.0,3.0,35.0,0.20156055187261807,0.775,0.013344414706380026,0.39681491104181765,0.0,0.678177870116457,0.5085711732963188
2.0,4.0,35.0,0.18892083994089795,0.675,0.004075078090027188,0.2902420826116787,0.24999999999999994,0.5820615907199548,0.3262701094236894
2.0,5.0,35.0,0.16882172084335714,0.725,0.0008718110742452993,0.28006030996836173,0.37499999999999994,0.48297990735186086,0.2988673108798334
2.0,6.0,35.0,0.23116015454292407,0.65,0.011320139825724343,0.30225684741163333,0.0,0.5833412627920442,0.3236304413297691
2.0,7.0,35.0,0.17946834307748924,0.6,0.007919353756489736,0.3933750468197764,0.37499999999999994,0.5465783589057863,0.2866132738053116
2.0,8.0,35.0,0.17763520701181804,0.75,0.0017477900663386528,0.3541611656709673,0.37499999999999994,0.662629838374212,0.48888535282894796
2.0,9.0,35.0,0.1957366235489103,0.75,0.011478303319825722,0.26285923881906803,0.24999999999999994,0.6213269478964751,0.3368747028428366
