eps,exper,N,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,9.0,20.0,0.17802178141224137,0.725,0.0018976733641845127,0.3992992247128311,0.37499999999999994,0.522142444930063,0.32791874269134436
2.0,0.0,25.0,0.16189857995092638,0.775,0.0027770825081922914,0.44169019589049996,0.37499999999999994,0.43128885034609626,0.28960653305243317
2.0,1.0,25.0,0.17694213733624814,0.675,0.002998217151865851,0.4275393194903948,0.24999999999999994,0.47491036004977777,0.3419621571185769
2.0,2.0,25.0,0.16900937156201504,0.775,0.001855308657511714,0.3605182693170997,0.24999999999999994,0.5126082455275288,0.3087643080986274
2.0,3.0,25.0,0.1980449539933524,0.725,0.0014451814641206744,0.36621146364450935,0.37499999999999994,0.46606031996841263,0.2984473213872679
2.0,4.0,25.0,0.18442017790373139,0.8,0.001416140046058637,0.4471591292690561,0.37499999999999994,0.5195709452421596,0.34829475901323365
2.0,5.0,25.0,0.18430892142424118,0.775,0.0020483709867107824,0.37812373590800685,0.37499999999999994,0.3652044846657313,0.2947668713055743
2.0,6.0,25.0,0.2017058405585369,0.75,0.001835053602270549,0.32326537568545527,0.24999999999999994,0.5591101082158336,0.3966803875179524
2.0,7.0,25.0,0.1920839880321629,0.675,0.00360568639394782,0.3000415343922811,0.24999999999999994,0.5977370471659675,0.41505079534316014
2.0,8.0,25.0,0.17592473505071743,0.625,0.002021387077474678,0.38978868817194,0.37499999999999994,0.4944179875960101,0.3059648855606997
2.0,9.0,25.0,0.1645701046439406,0.725,0.004223938630958637,0.5348036843790503,0.37499999999999994,0.49722156815185764,0.300642489961509
2.0,0.0,30.0,0.17584635466746826,0.725,0.0021468978057262995,0.4190598502568239,0.24999999999999994,0.5411085902925712,0.3427673678379553
2.0,1.0,30.0,0.17021042704875516,0.675,0.001771082927360948,0.46999709549564805,0.37499999999999994,0.49852929665447454,0.30799609223801544
2.0,2.0,30.0,0.19922727999571493,0.75,0.0021990873911604844,0.4190513688672612,0.24999999999999994,0.3229157875052008,0.27913951596330805
2.0,3.0,30.0,0.1991835604341664,0.725,0.0016397520911926489,0.44830009821411654,0.24999999999999994,0.4474604088921308,0.3795377843141659
2.0,4.0,30.0,0.17999358976494903,0.8,0.002479178773166633,0.3516241307181217,0.37499999999999994,0.5064833941533171,0.3511903302102637
2.0,5.0,30.0,0.1700424783764364,0.65,0.009323936376337383,0.421950945093282,0.12499999999999997,0.5457770285263256,0.4027540791283555
2.0,6.0,30.0,0.20482135175546254,0.8,0.0017585612347089878,0.4891263542531491,0.24999999999999994,0.45084968207922116,0.37214692301595514
2.0,7.0,30.0,0.15824011578579364,0.725,0.0012968163963724653,0.35826041149305515,0.37499999999999994,0.4910934977658503,0.32140675035690064
2.0,8.0,30.0,0.17729443720203275,0.8,0.0022313830642537555,0.5174726004747698,0.24999999999999994,0.4766151824559659,0.3590945498611736
2.0,9.0,30.0,0.1952186516264731,0.4,0.022056826040542692,0.2974966402304117,0.24999999999999994,0.642592175316326,0.53489944689052
2.0,0.0,35.0,0.19840848717578163,0.7,0.0032163446165657896,0.43063441730579655,0.37499999999999994,0.6392608798100781,0.39457115743816923
2.0,1.0,35.0,0.16891643952466323,0.75,0.0034892050241587006,0.5975941702406555,0.24999999999999994,0.5820455427836052,0.4555855433735863
2.0,2.0,35.0,0.19015133379010407,0.6,0.01464579970368594,0.36643865566679834,0.37499999999999994,0.6866465014407014,0.5231524209257641
2.0,3.0,35.0,0.16661666691791102,0.75,0.0023095213323715293,0.4817591239905305,0.37499999999999994,0.39726681749105597,0.3410954263498601
2.0,4.0,35.0,0.16060365081764066,0.7,0.003427099806401798,0.6201853952271603,0.37499999999999994,0.6547787961238993,0.4026953945116709
2.0,5.0,35.0,0.20053999321665336,0.725,0.0025267622001753434,0.4860664171822004,0.24999999999999994,0.35966600573712204,0.2639224963505086
2.0,6.0,35.0,0.22230227087758406,0.65,0.002314646047671845,0.48680092786907714,0.37499999999999994,0.5383275372044134,0.38235363759151964
2.0,7.0,35.0,0.1523822395890057,0.725,0.0031250784828700624,0.5429076110295098,0.37499999999999994,0.5167274225353461,0.33729089022621467
2.0,8.0,35.0,0.17810991633891174,0.7,0.006164357736200004,0.5160717788035529,0.12499999999999997,0.582448160778987,0.42485615839789415
2.0,9.0,35.0,0.17683180468964355,0.6,0.001307148161933806,0.4197351102458068,0.24999999999999994,0.4751235762952312,0.3619305887593043
