eps,exper,N,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.0,5.0,0.19295284344220873,0.625,0.003059647100160066,0.5187084284341656,0.24999999999999994,0.5641021106001346,0.48747026936755355
2.0,1.0,5.0,0.275257063198671,0.65,0.009344957623527706,0.3666883308278635,0.37499999999999994,0.6482287424270791,0.3567028310667268
2.0,2.0,5.0,0.17816566736743117,0.6,0.0024353746750995805,0.4898203235467681,0.24999999999999994,0.5773917880137803,0.45364466284434496
2.0,3.0,5.0,0.24148746288641593,0.475,0.021857131281292297,0.3643887200384038,0.24999999999999994,0.7784472840571429,0.5135087915172782
2.0,4.0,5.0,0.20389569226782275,0.5,0.002901824519548911,0.3776377969475176,0.24999999999999994,0.5534797358046767,0.45064936821159723
2.0,5.0,5.0,0.32027550679797967,0.55,0.0026480558483618095,0.44560011468605276,0.24999999999999994,0.399260660331954,0.26634506535019703
2.0,6.0,5.0,0.2904557310547094,0.6,0.002198039073312118,0.4246556349752728,0.24999999999999994,0.28670459457347547,0.2806765116245139
2.0,7.0,5.0,0.265705477528182,0.45,0.015644812000373955,0.29979831017957886,0.37499999999999994,0.6598346722422702,0.35919734787064667
2.0,8.0,5.0,0.2397552244400609,0.475,0.021764304782613254,0.31770356839840774,0.24999999999999994,0.7536929299054034,0.4098701497880404
2.0,9.0,5.0,0.2732882283059501,0.575,0.005857092951620027,0.2802237514428476,0.4999999999999999,0.583916279466227,0.28299703976781876
2.0,0.0,10.0,0.21933173873242812,0.575,0.009772701698562125,0.4348783282393446,0.37499999999999994,0.6315780158302154,0.2576494287829333
2.0,1.0,10.0,0.20916085989406982,0.5,0.01721248261906045,0.3004816012366909,0.37499999999999994,0.7097079485027291,0.46955709951084307
2.0,2.0,10.0,0.23850122475581856,0.525,0.02178980017447954,0.40320633205663176,0.12499999999999997,0.7760814103522803,0.5609421904702211
2.0,3.0,10.0,0.25152013368583953,0.525,0.007144628015832694,0.4293407484948895,0.24999999999999994,0.5758992372435446,0.30867830361548265
2.0,4.0,10.0,0.2209099573615536,0.6,0.016205215739946197,0.34031888495921486,0.24999999999999994,0.6635843292912905,0.4406394287559807
2.0,5.0,10.0,0.20639411224138732,0.5,0.02410308716891966,0.34762848843430816,0.24999999999999994,0.7910636824716007,0.5328082945578587
2.0,6.0,10.0,0.24928581302502414,0.675,0.0022904468637704265,0.44263766166266905,0.37499999999999994,0.39181441285897073,0.24268716789231357
2.0,7.0,10.0,0.25426296617235933,0.725,0.0018854738284349898,0.3284129578393772,0.37499999999999994,0.46208981735985194,0.2143156568227223
